identifier,en,de,fr,es,cn,note
WE_EDIT_LIVE_SUBSCRIBE_TIP_NO_KEY,"Requires a GW2 API key (General tab, Account and tracking) - region-wide toast
delivery needs it to tell NA and EU apart.","Erfordert einen GW2-API-Schlüssel (Tab ""Allgemein"", ""Konto und Nachverfolgung"") - die
regionsweite Zustellung braucht ihn, um NA und EU zu unterscheiden.","Nécessite une clé API GW2 (onglet Général, Compte et suivi) - la diffusion des notifications
à l'échelle de la région en a besoin pour distinguer NA et EU.","Requiere una clave de API de GW2 (pestaña General, Cuenta y rastreo): la entrega de
notificaciones a nivel de región la necesita para distinguir NA de EU.",需要GW2 API密钥（“常规”标签页，账号与追踪），全区弹窗通知依靠密钥区分美服与欧服。,
WE_EDIT_LIVE_NAMED_ONLY_TIP,"Only notify me when the reporter shared their name.
An unnamed report can't be whispered or joined directly,
so skip its toast rather than show one you can't act on.","Nur benachrichtigen, wenn der Meldende seinen Namen geteilt hat.
Eine anonyme Meldung kann nicht direkt angeflüstert oder
verfolgt werden, daher entfällt ihre Benachrichtigung, statt
eine zu zeigen, auf die du nicht reagieren kannst.","Ne me notifier que lorsque le rapporteur a partagé son nom.
Un signalement anonyme ne peut pas être chuchoté ni rejoint directement,
donc sa notification est ignorée plutôt que d'en afficher une sur laquelle vous ne pouvez pas agir.","Notificarme solo cuando quien reporta haya compartido su nombre.
Un reporte anónimo no se puede susurrar ni seguir directamente,
así que se omite su notificación en lugar de mostrar una sobre la que no puedes actuar.",仅当上报者共享角色名时才推送通知。匿名上报无法直接密语或跟进，因此不会弹出无法交互的通知。,
WE_EDIT_LIVE_DONE_TIP,Done for today - mutes toasts for this event until the daily reset.,Heute erledigt - stummt Benachrichtigungen für dieses Event bis zum täglichen Reset.,Fait aujourd'hui - coupe les notifications pour cet événement jusqu'à la réinitialisation quotidienne.,Hecho hoy: silencia las notificaciones de este evento hasta el reinicio diario.,今日已完成：该事件弹窗通知将被静音，直至每日重置。,
#,"options_events.cpp - Events tab: top strip (Quick/Deep toggle), the shared, Basic and Cyclic settings headers with their controls, and the Quick rows, and the Deep Categories editor. The search box, Reset/Restore buttons, right-click hint and sub-tab names reuse rows above; WE_OPT_ACTIVE and WE_OPT_SOON are shared with options_general.cpp.",,,,,
WE_OPTWIN_EVENTS_QUICK,Quick,Schnell,Rapide,Rápido,快速,
WE_OPTWIN_EVENTS_DEEP,Deep,Detailliert,Détaillé,Detallado,详细,
WE_OPTWIN_EVENTS_QUICK_TIP,Expanded rows show only the notify level and Done for today.,"Aufgeklappte Zeilen zeigen nur die Benachrichtigungsstufe
und Heute erledigt.","Les lignes développées n'affichent que le niveau de notification
et Fait aujourd'hui.","Las filas desplegadas solo muestran el nivel de notificación
y Hecho hoy.",展开的条目只显示通知级别和“今日已完成”。,
WE_OPTWIN_EVENTS_DEEP_TIP,"Expanded rows show every setting: location, timing, icon, colors and
text to copy. Categories can only be edited in this mode.","Aufgeklappte Zeilen zeigen alle Einstellungen: Position, Zeiten, Symbol,
Farben und zu kopierenden Text. Kategorien lassen sich nur in diesem
Modus bearbeiten.","Les lignes développées affichent tous les réglages : position, horaires,
icône, couleurs et texte à copier. Les catégories ne se modifient que
dans ce mode.","Las filas desplegadas muestran todos los ajustes: ubicación, horarios,
icono, colores y texto para copiar. Las categorías solo se editan en
este modo.","展开的条目显示全部设置：位置、时间、图标、颜色和待复制文本。
分类只能在此模式下编辑。",
WE_OPTWIN_HDR_SHARED,Shared settings (Basic and Cyclic),Gemeinsame Einstellungen (Normal und Zyklisch),Paramètres communs (Normal et Cyclique),Ajustes comunes (Normal y Cíclico),通用设置（基础和循环）,
WE_OPT_GROW_MARKERS_ZOOM,Grow markers and rings when zooming in,Markierungen und Ringe beim Zoomen vergrößern,Agrandir marqueurs et anneaux en zoomant,Agrandar marcadores y anillos al acercar el zoom,放大地图时标记和圆环随之放大,
WE_OPT_START_GROWING_AT,Markers/rings start growing at,Markierungen/Ringe wachsen ab,Marqueurs/anneaux grandissent dès,Marcadores/anillos crecen desde,标记/圆环开始放大的缩放等级,
WE_OPT_MAX_SIZE_AT_ZOOM,Max marker/ring size at 100% zoom,Max. Größe Markierung/Ring bei 100% Zoom,Taille max. marqueur/anneau à 100% de zoom,Tamaño máx. marcador/anillo al 100% de zoom,100%缩放时标记/圆环的最大尺寸,
WE_OPTWIN_HDR_BASIC,Basic event settings,Einstellungen für normale Events,Paramètres des événements normaux,Ajustes de eventos normales,基础事件设置,
WE_OPT_ONLY_SHOW_STARTING_IN,Only show events starting in,Zeige nur Events innerhalb der nächsten,N'afficher que les événements commençant dans,Mostrar solo eventos que empiecen en,仅显示多久之后开始的事件,
WE_OPT_ACTIVE,Active,Aktiv,Actif,Activo,进行中,
WE_OPT_SOON,Soon,Bald,Bientôt,Pronto,即将到来,
WE_OPT_WAITING,Waiting,Pause,En attente,Esperando,等待中,
WE_OPT_DOT_RADIUS,Dot radius,Punktradius,Rayon du point,Radio del punto,圆点半径,
WE_OPT_ICON_SIZE,Icon size,Symbolgröße,Taille de l'icône,Tamaño del icono,图标尺寸,
WE_OPTWIN_HDR_CYCLIC,Cyclic event settings,Einstellungen für zyklische Events,Paramètres des événements cycliques,Ajustes de eventos cíclicos,循环事件设置,
WE_OPT_SHOW_CYCLIC_ON_MAP,Show cyclic events on map,Zyklische Events auf der Karte anzeigen,Afficher les événements cycliques sur la carte,Mostrar eventos cíclicos en el mapa,地图显示循环事件,
WE_OPT_RING_APPEARANCE,Ring appearance,Ring-Erscheinungsbild,Apparence de l'anneau,Apariencia del anillo,圆环外观设置,
WE_OPT_RADIUS,Radius,Radius,Rayon,Radio,半径,
WE_OPT_THICKNESS,Thickness,Dicke,Épaisseur,Grosor,厚度,
WE_OPT_ENTRY_EXIT_WINDOW,Entry / exit window,Ein-/Austrittsfenster,Fenêtre d'entrée/sortie,Ventana de entrada/salida,进入/淡出窗口,
WE_OPT_FUTURE_WINDOW,Future window,Zukunftsfenster,Fenêtre future,Ventana futura,未来窗口,
WE_TIP_FUTURE_WINDOW,"How far ahead an upcoming event starts fading into view.
Measured in degrees of the ring.","Wie weit im Voraus ein bevorstehendes Event einzublenden
beginnt. Gemessen in Grad des Rings.","Combien de temps à l'avance un événement à venir commence à apparaître.
Mesuré en degrés de l'anneau.","Con cuánta antelación empieza a aparecer un evento próximo.
Medido en grados del anillo.",距离事件还有多久开始淡入显示，以圆环角度为单位。,
WE_OPT_PAST_WINDOW,Past window,Vergangenheitsfenster,Fenêtre passée,Ventana pasada,过去窗口,
WE_TIP_PAST_WINDOW,"How long a finished event lingers before fading out.
Measured in degrees of the ring.","Wie lange ein beendetes Event sichtbar bleibt, bevor es
ausblendet. Gemessen in Grad des Rings.","Combien de temps un événement terminé persiste avant de s'estomper.
Mesuré en degrés de l'anneau.","Cuánto tiempo permanece un evento terminado antes de desvanecerse.
Medido en grados del anillo.",事件结束后保留可见的时长，以圆环角度为单位。,
WE_OPT_FADE_PAST_EVENTS,Fade past events,Vergangenes langsam ausblenden,Estomper les événements passés,Desvanecer eventos pasados,淡出已结束事件,
WE_TIP_FADE_PAST_EVENTS,"Fades the past window from full opacity at the hand
down to transparent at its far edge. Turn off to keep
it solid across the whole past window.","Blendet das Vergangenheitsfenster von voller Deckkraft am
Zeiger bis transparent am äußeren Rand aus. Deaktivieren, um
es über das gesamte Fenster hinweg deckend zu halten.","Estompe la fenêtre passée d'une opacité complète au niveau de l'aiguille
jusqu'à transparente à son bord le plus éloigné. Désactivez pour la garder
opaque sur toute la fenêtre passée.","Desvanece la ventana de pasado desde opacidad total en la manecilla
hasta transparente en su borde más lejano. Desactívalo para mantenerla
sólida en toda la ventana de pasado.",已结束事件区域从指针位置完全不透明向远端逐步透明；关闭此项，已结束区域将全部保持不透明。,
WE_OPT_HAND,Hand,Zeiger,Aiguille,Manecilla,指针,
WE_OPT_COLOR,Color,Farbe,Couleur,Color,颜色,
WE_TIP_HAND_COLOR,"Color of the fixed ""now"" hand at the top of every ring.
Also tints the hand texture below, if enabled.","Farbe des fixen ""Jetzt""-Zeigers oben an jedem Ring.
Färbt bei Aktivierung auch das Zeiger-Textur unten ein.","Couleur de l'aiguille fixe ""maintenant"" en haut de chaque anneau.
Teinte aussi la texture de l'aiguille ci-dessous, si activée.","Color de la manecilla fija de ""ahora"" en la parte superior de cada anillo.
También tiñe la textura de la manecilla de abajo, si está activada.",每个圆环顶端代表“当前时刻”指针的颜色。开启指针纹理后，纹理也会使用该色调。,
WE_OPT_USE_TEXTURE,Use texture,Textur verwenden,Utiliser une texture,Usar textura,使用纹理,
WE_TIP_HAND_USE_TEXTURE,"Draws a texture in place of the plain hand tick. Like the
Basic Event icons, the source texture's RGB should be a
neutral gray with the shape in the alpha channel.","Zeichnet eine Textur anstelle des schlichten Zeiger-Strichs.
Wie bei den Symbolen für normale Events sollte das RGB der
Textur neutrales Grau sein, mit der Form im Alphakanal.","Dessine une texture à la place du simple trait de l'aiguille. Comme pour
les icônes d'Événement normal, le RVB de la texture source doit être
un gris neutre, avec la forme dans le canal alpha.","Dibuja una textura en lugar del trazo simple de la manecilla. Al igual
que con los iconos de Evento normal, el RGB de la textura de origen
debe ser gris neutro, con la forma en el canal alfa.",使用纹理替代纯色指针标记。和基础事件图标要求一致，纹理RGB通道应为中性灰色，图形轮廓存放于Alpha通道。,
WE_OPT_NONE,None,Keine,Aucune,Ninguna,无,
WE_OPT_WIDTH,Width,Breite,Largeur,Ancho,宽度,
WE_TIP_HAND_TEXTURE_WIDTH,"Length isn't separately adjustable - the testure always
spans exactly from the ring's inner edge to its outer
edge, stretching automatically with Radius/Thickness.","Die Länge ist nicht separat einstellbar - die Textur reicht
immer exakt vom inneren bis zum äußeren Rand des Rings und
skaliert automatisch mit Radius/Dicke mit.","La longueur n'est pas réglable séparément - la texture s'étend toujours
exactement du bord intérieur de l'anneau à son bord extérieur, en
s'ajustant automatiquement avec Rayon/Épaisseur.","La longitud no es ajustable por separado: la textura siempre se extiende
exactamente desde el borde interior del anillo hasta su borde exterior,
ajustándose automáticamente con Radio/Grosor.",指针长度不可单独调整，纹理会铺满圆环内圈到外圈，跟随圆环半径、厚度自动缩放。,
WE_OPT_RING_EDGE_TEXTURE,Ring edge texture,Ringkanten-Textur,Texture de bord d'anneau,Textura de borde del anillo,圆环边缘纹理,
WE_TIP_RING_EDGE_TEXTURE,"Wraps a texture around the ring's edge(s) in place of a
plain line. The texture should be wider than it is tall - it
is stretched around exactly the portion of the circle
shown by the Future/Past window above, and rescales with
Radius/Thickness. Drop a .png/.jpg into this addon's
""textures"" folder to make it available below.","Legt eine Textur um die Ringkante(n) statt einer schlichten
Linie. Die Textur sollte breiter als hoch sein - es wird exakt
über den durch das Zukunfts-/Vergangenheitsfenster oben
festgelegten Kreisabschnitt gespannt und skaliert mit Radius/
Dicke. Eine .png/.jpg in den ""textures""-Ordner dieses Addons
legen, um sie unten verfügbar zu machen.","Enroule une texture autour du/des bord(s) de l'anneau à la place d'une
simple ligne. La texture doit être plus large que haute - elle est étirée
exactement sur la portion du cercle indiquée par la fenêtre Futur/Passé
ci-dessus, et se redimensionne avec Rayon/Épaisseur. Déposez un
.png/.jpg dans le dossier ""textures"" de cet addon pour le rendre disponible
ci-dessous.","Envuelve una textura alrededor del/de los borde(s) del anillo en lugar
de una línea simple. La textura debe ser más ancha que alta: se estira
exactamente sobre la porción del círculo mostrada por la ventana
Futuro/Pasado de arriba, y se reescala con Radio/Grosor. Coloca un
.png/.jpg en la carpeta ""textures"" de este addon para que esté disponible
abajo.","使用纹理包裹圆环边缘，替代纯色线条。纹理宽大于高；纹理仅覆盖由未来/过去窗口划定的圆弧部分，
并跟随圆环参数缩放。将png/jpg放入插件textures文件夹即可在此选择。",
WE_OPT_TEXTURE,Texture,Textur,Texture,Textura,纹理,
WE_TIP_RING_TEXTURE_THICKNESS,"On-screen thickness of the texture band, centered on the
edge it's drawn on. This is independent of the source
texture file's own pixel height - the texture is always
stretched to fill this value, so swapping in a
shorter/taller source PNG has no effect on its own;
drag this down to make the band thinner.","Sichtbare Dicke des Texturbands, zentriert auf der Kante, auf
der es liegt. Unabhängig von der Pixelhöhe der Quelldatei - die
Textur wird immer auf diesen Wert gestreckt, ein kürzeres/
höheres PNG allein ändert also nichts; für ein schmaleres Band
den Wert verringern.","Épaisseur à l'écran de la bande de texture, centrée sur le bord sur lequel
elle est dessinée. Indépendant de la hauteur en pixels du fichier de
texture source - la texture est toujours étirée pour remplir cette valeur,
donc remplacer par un PNG source plus court/plus haut n'a aucun effet
en soi ; diminuez cette valeur pour affiner la bande.","Grosor en pantalla de la banda de textura, centrada en el borde sobre
el que se dibuja. Independiente de la altura en píxeles del archivo de
textura de origen: la textura siempre se estira para llenar este valor,
así que sustituir por un PNG de origen más corto/alto no tiene efecto
por sí solo; reduce este valor para hacer la banda más fina.","纹理带的屏幕厚度，以圆环边缘居中对齐。与原始图片像素高度无关，
纹理会拉伸到此设定厚度，更换原图尺寸不会改变显示效果；调小数值让纹理带变细。",
WE_OPT_OFFSET,Offset,Versatz,Décalage,Desfase,偏移量,
WE_TIP_RING_TEXTURE_OFFSET,"Nudges both copies radially outward from the ring's own
fill - the outer copy moves further out, the inner copy
further in - so they stay mirror-symmetric.
Negative values pull both back in toward the ring instead.","Verschiebt beide Kopien radial vom eigentlichen Ring weg.
Die äußere Kopie weiter nach außen, die innere weiter
nach innen, sodass sie spiegelsymmetrisch bleiben.
Negative Werte ziehen beide zurück zum Ring hin.","Décale les deux copies radialement vers l'extérieur par rapport au
remplissage propre de l'anneau - la copie extérieure s'éloigne davantage,
la copie intérieure se rapproche davantage - pour rester symétriques en miroir.
Des valeurs négatives ramènent les deux vers l'anneau à la place.","Desplaza ambas copias radialmente hacia afuera respecto al relleno
propio del anillo: la copia exterior se aleja más, la copia interior se
acerca más, de modo que permanezcan simétricas en espejo.
Los valores negativos acercan ambas copias hacia el anillo en su lugar.",径向偏移内外两侧纹理，外侧向外、内侧向内，保持镜像对称。负值会把两侧纹理向圆环中心收拢。,
WE_OPT_FILL_TEXTURE,Fill texture,Füll-Textur,Texture de remplissage,Textura de relleno,填充纹理,
WE_TIP_FILL_TEXTURE,"Lays a texture over the ring's own plain-color fill (the
track and slot arcs) to break it up with some texture or
grain.","Legt eine Textur über die einfarbige Füllung des Rings (Bahn-
und Slot-Bögen), um sie mit etwas Textur oder Körnung
aufzulockern.","Superpose une texture au remplissage uni de l'anneau (les arcs de piste
et de créneau) pour le briser avec un peu de texture ou de grain.","Superpone una textura sobre el relleno de color liso del anillo (los arcos
de pista y ranura) para romperlo con algo de textura o grano.",为圆环纯色填充区域（轨道、时段圆弧）叠加填充纹理，增加颗粒质感。,
WE_OPT_OPACITY,Opacity,Deckkraft,Opacité,Opacidad,不透明度,
WE_OPTWIN_QUICK_SUBSCRIBE_ALL,Subscribe all,Alle abonnieren,Tout abonner,Suscribir todo,全部订阅,
WE_OPTWIN_QUICK_DONE_TODAY,Done for today,Heute erledigt,Fait aujourd'hui,Hecho hoy,今日已完成,
WE_OPTWIN_CATEGORIES_HINT,Drag a row onto a category to move it there. Right-click a category to edit its name or delete it.,"Ziehe eine Zeile auf eine Kategorie, um sie dorthin zu verschieben. Rechtsklick auf eine Kategorie zum Bearbeiten des Namens oder Löschen.",Faites glisser une ligne sur une catégorie pour l'y déplacer. Clic droit sur une catégorie pour modifier son nom ou la supprimer.,Arrastra una fila sobre una categoría para moverla allí. Clic derecho en una categoría para editar su nombre o eliminarla.,将一行拖到某个分类上即可移入该分类。右键点击分类可编辑名称或删除。,
WE_OPTWIN_CATEGORIES_NONE,Uncategorized (drop a row here),Ohne Kategorie (Zeile hier ablegen),Sans catégorie (déposez une ligne ici),Sin categoría (suelta una fila aquí),未分类（将行拖放到此处）,
